geneSymbol	geneName	ProbeID	logFC	P.Value	adj.P.Val
NDRG1	N-myc downstream regulated 1	1230070	-1.644019687	3.39E-13	5.76E-09
CASP3	"caspase 3, apoptosis-related cysteine peptidase"	2260215	-1.424726792	5.18E-13	5.76E-09
SLC44A1	"solute carrier family 44, member 1"	4290605	-1.780406603	8.38E-13	6.21E-09
SCARNA11	small Cajal body-specific RNA 11	5310066	1.73020476	1.82E-12	1.01E-08
PAICS	"phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase"	6420424	-1.24880026	8.16E-12	3.09E-08
WDR41	WD repeat domain 41	2650148	-1.175744091	9.40E-12	3.09E-08
WSB2	WD repeat and SOCS box containing 2	6550703	-1.5619715	1.17E-11	3.09E-08
C1orf85	chromosome 1 open reading frame 85	2640086	-1.589324002	1.24E-11	3.09E-08
ZDHHC7	"zinc finger, DHHC-type containing 7"	5360154	-1.213794086	1.34E-11	3.09E-08
GPD1L	glycerol-3-phosphate dehydrogenase 1-like	2450187	-1.209414686	1.52E-11	3.09E-08
SCARNA13	small Cajal body-specific RNA 13	360292	1.894190295	1.73E-11	3.09E-08
GABBR2	"gamma-aminobutyric acid (GABA) B receptor, 2"	4780563	-1.105216189	1.78E-11	3.09E-08
SH2D4A	SH2 domain containing 4A	2680372	-1.274705891	2.05E-11	3.09E-08
GYG1	glycogenin 1	670528	-1.447903449	2.06E-11	3.09E-08
NA	NA	2510445	-1.163311009	2.12E-11	3.09E-08
C20orf20	chromosome 20 open reading frame 20	7380634	-1.17274758	2.32E-11	3.09E-08
SLK	STE20-like kinase	4060021	-1.092898582	2.44E-11	3.09E-08
ZAK	sterile alpha motif and leucine zipper containing kinase AZK	4670059	-1.165064703	2.50E-11	3.09E-08
SNORD3D	"small nucleolar RNA, C/D box 3D"	380685	1.610510207	3.02E-11	3.48E-08
UHRF1	ubiquitin-like with PHD and ring finger domains 1	2940110	-1.126859136	3.13E-11	3.48E-08
CKAP2L	cytoskeleton associated protein 2-like	6380324	-1.069474928	3.30E-11	3.50E-08
IPO5	importin 5	1440632	-1.050419944	3.46E-11	3.50E-08
SNORD3C	"small nucleolar RNA, C/D box 3C"	580161	1.531726574	3.86E-11	3.62E-08
PAICS	"phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase"	4050639	-1.234923717	3.91E-11	3.62E-08
TP53INP1	tumor protein p53 inducible nuclear protein 1	6660630	1.586739881	4.76E-11	4.23E-08
SNORD3A	"small nucleolar RNA, C/D box 3A"	2510164	1.693502551	6.27E-11	5.37E-08
TP53INP1	tumor protein p53 inducible nuclear protein 1	5420538	1.257805543	7.44E-11	6.13E-08
LRIG1	leucine-rich repeats and immunoglobulin-like domains 1	5090408	-1.177741156	8.95E-11	7.11E-08
NETO2	neuropilin (NRP) and tolloid (TLL)-like 2	1580161	-1.228727073	1.01E-10	7.72E-08
RN5S9	"RNA, 5S ribosomal 9"	2570220	1.681976953	1.06E-10	7.87E-08
SNORA12	"small nucleolar RNA, H/ACA box 12"	6510156	1.384294238	1.22E-10	8.74E-08
CITED4	"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4"	5810142	1.058282851	1.37E-10	9.28E-08
ZSWIM4	"zinc finger, SWIM-type containing 4"	1170072	0.994131162	1.38E-10	9.28E-08
FAM69A	"family with sequence similarity 69, member A"	2970433	-0.983302442	1.49E-10	9.77E-08
SCARNA14	small Cajal body-specific RNA 14	3140521	1.451041892	1.78E-10	1.12E-07
TMEM181	transmembrane protein 181	5670181	-1.055762228	1.82E-10	1.12E-07
TUBB3	"tubulin, beta 3"	4050040	-0.999269235	2.05E-10	1.23E-07
MCM3	minichromosome maintenance complex component 3	6650053	-1.062559786	2.52E-10	1.42E-07
PRSS23	"protease, serine, 23"	2190184	-1.048719619	2.53E-10	1.42E-07
NUMB	numb homolog (Drosophila)	4230403	-0.964134654	2.56E-10	1.42E-07
FOXJ2	forkhead box J2	4900332	-0.920498104	2.69E-10	1.46E-07
