UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	20
2	35
0	0
0	0
0	0
0	0
0	11
16	13
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	16
0	5
0	0
0	0
0	5
2	250
1	30
0	0
0	0
1	369
0	240
4	359
1	110
0	242
16	198
0	191
0	84
6	8
0	0
0	341
687	589
0	345
0	201
0	158
0	493
0	266
52	173
1	386
70	2023
6	1955
0	15
1	0
0	3
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	3
1	88
0	0
0	1034
13	1337
18	302
38	994
5	160
0	163
0	1224
3	382
0	0
182	926
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	86
0	2
0	0
0	0
8	37
54	30
0	4
0	13
0	35
0	56
14	984
1	36
0	15
0	355
0	900
17	118
0	423
14	26
0	126
2	23
0	49
1	171
36	29
0	218
0	0
1	58
0	0
0	88
0	2
0	2
0	2
0	0
0	0
0	1
0	1
0	0
0	2
0	0
0	0
0	0
0	1
0	0
0	2
1	3040
0	0
0	0
0	0
0	0
0	0
161	1102
0	134
0	18
0	740
0	258
5	77
30	1059
0	1050
0	4
85	78
0	174
0	0
0	0
0	0
2	2
0	0
2	0
0	0
0	0
0	22
0	0
0	0
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
9	36
0	71
0	0
0	0
0	0
0	165
0	1997
0	0
0	0
0	0
0	227
0	0
0	0
0	0
0	37
0	0
0	2
0	0
0	0
439	44
5	29
0	29
0	5
0	5
0	27
17	5
1	4
2	5
2	8
0	5
0	3765
2	0
0	0
82	58
0	58
0	10
0	10
0	11
1623	129
0	256
0	58
0	0
0	0
0	125
0	0
0	126
0	126
4	1380
1	1383
0	1424
15	31
0	1132
3	1255
0	1371
0	47
0	141
1	1206
53	158
71	226
1	72
2	0
4	65
0	92
0	88
0	70
0	88
0	114
0	73
0	87
0	41
0	66
0	110
0	64
0	73
0	91
0	12
0	78
0	59
0	78
0	95
0	31
0	92
0	87
0	66
3	4
0	236
0	8
4	10
3	4
0	227
0	2
8	44
0	34
0	10
0	0
0	1
0	1
0	0
0	0
0	0
0	0
2	35
0	0
10	756
1	425
2	558
0	290
32	482
5	237
6	164
1	2
0	5
53	249
7	17
0	17
0	47
0	9
1	52
1	50
0	13
0	44
0	14
0	12
0	216
0	16
43	7
0	24
0	12
0	22
1	21
0	15
0	13
0	70
6	2
5	25
6	11
2	39
1	0
906	1631
0	189
0	244
6	160
3	53
0	994
0	64
0	137
1	0
1	0
0	0
0	0
9	483
0	0
1	7
